region,day,total_trucks,total_routes,total_cost,total_ww_cost
4,55,3,4,4923.714704816762,4923.714704816762
5,55,2,2,2222.2921455450255,2222.2921455450255
6,55,3,5,3987.6288711341367,3987.6288711341367
7,55,2,2,2240.4153276354727,2240.4153276354727
0,56,5,6,6087.976173469019,6087.976173469019
1,56,2,3,3004.54734443573,3004.54734443573
2,56,3,4,3996.5966421588955,3996.5966421588955
3,56,4,5,4865.259619516244,4865.259619516244
4,56,3,4,4767.570836826797,4767.570836826797
5,56,2,3,2252.6753890814107,2252.6753890814107
6,56,3,4,4447.7908947529795,4447.7908947529795
7,56,2,2,2458.2473143525185,2458.2473143525185
0,57,5,7,5994.088230167253,5994.088230167253
1,57,2,2,2559.246428960526,2559.246428960526
2,57,3,5,3863.497215006777,3863.497215006777
3,57,4,4,4478.233418166183,4478.233418166183
4,57,3,3,3760.50214753362,3760.50214753362
5,57,2,2,2305.625478878359,2305.625478878359
6,57,3,4,4296.46718847764,4296.46718847764
7,57,2,2,2505.8283525043507,2505.8283525043507
0,58,5,7,5754.381899008614,5754.381899008614
1,58,2,3,2860.407244652747,2860.407244652747
2,58,3,3,3911.474640178917,3911.474640178917
3,58,4,6,4583.63156380363,4583.63156380363
4,58,3,4,4578.328608848023,4578.328608848023
5,58,2,3,2164.2442788623894,2164.2442788623894
6,58,3,3,3859.877699871732,3859.877699871732
7,58,2,2,2404.080647685852,2404.080647685852
0,59,5,6,6179.937381089599,6179.937381089599
1,59,2,3,2889.573911319413,2889.573911319413
2,59,3,4,4013.818336239555,4013.818336239555
3,59,4,5,4686.35706206636,4686.35706206636
4,59,3,4,4476.298978402078,4476.298978402078
5,59,2,2,2249.1410994200432,2249.1410994200432
6,59,3,4,4451.646210570751,4451.646210570751
7,59,2,2,2465.145140902895,2465.145140902895
0,60,5,6,6228.674286586146,6228.674286586146
1,60,2,2,2011.5564688296183,2011.5564688296183
2,60,3,4,4373.021398084408,4373.021398084408
3,60,4,5,4916.882921163496,4916.882921163496
4,60,3,4,4747.441861451908,4747.441861451908
5,60,2,2,2404.2128258706625,2404.2128258706625
6,60,3,4,3866.3669447145935,3866.3669447145935
7,60,2,2,2445.7473143525185,2445.7473143525185
0,61,5,6,5835.310126097325,5835.310126097325
1,61,2,3,3026.3778834794416,3026.3778834794416
2,61,3,4,3896.509570000984,3896.509570000984
3,61,4,5,4690.608179204434,4690.608179204434
4,61,3,4,5094.885449052905,5094.885449052905
5,61,2,2,2297.459992586425,2297.459992586425
6,61,3,4,3811.3504238367404,3811.3504238367404
7,61,2,2,2602.645140902895,2602.645140902895
0,62,5,5,5561.070355685881,5561.070355685881
1,62,2,2,2438.1814929335214,2438.1814929335214
2,62,3,4,4113.218071351961,4113.218071351961
3,62,4,6,3886.909688924452,3886.909688924452
4,62,3,4,4747.76516646725,4747.76516646725
5,62,2,3,2344.16800374961,2344.16800374961
6,62,3,4,4212.453606329686,4212.453606329686
7,62,2,2,2361.2486609688062,2361.2486609688062
0,63,5,6,5872.160373930402,5872.160373930402
1,63,2,3,2997.907244652747,2997.907244652747
2,63,3,3,3717.822729971478,3717.822729971478
3,63,4,5,4347.987000696969,4347.987000696969
4,63,3,4,4656.350192442931,4656.350192442931
5,63,2,3,2344.16800374961,2344.16800374961
6,63,3,6,4346.020653799747,4346.020653799747
7,63,2,2,2127.9153276354727,2127.9153276354727
0,64,5,6,6041.233097540982,6041.233097540982
1,64,2,2,2420.085261591728,2420.085261591728
2,64,3,4,4102.380533028201,4102.380533028201
3,64,4,5,4741.7417620576225,4741.7417620576225
4,64,3,4,4435.277595004731,4435.277595004731
5,64,2,3,2571.208553525888,2571.208553525888
6,64,3,5,3905.9625709438287,3905.9625709438287
7,64,2,2,2211.055762747605,2211.055762747605
0,65,5,6,6313.977010137134,6313.977010137134
1,65,2,2,2474.4944773670354,2474.4944773670354
2,65,3,3,3508.9341516103786,3508.9341516103786
3,65,4,6,4493.793415740038,4493.793415740038
4,65,3,4,4560.380931795873,4560.380931795873
5,65,2,3,2101.893947012484,2101.893947012484
6,65,3,4,4363.967490257326,4363.967490257326
7,65,2,2,2398.478474236228,2398.478474236228
0,66,5,7,6023.910133752738,6023.910133752738
1,66,2,2,2429.2981987088483,2429.2981987088483
2,66,3,3,3568.6262800378713,3568.6262800378713
3,66,4,5,4930.714979829009,4930.714979829009
4,66,3,3,3961.7819281401153,3961.7819281401153
5,66,2,3,2631.2323686822747,2631.2323686822747
6,66,3,3,3625.720957407423,3625.720957407423
7,66,2,3,3085.99180728596,3085.99180728596
0,67,5,6,6261.1016598754895,6261.1016598754895
1,67,2,3,2913.877883479441,2913.877883479441
2,67,3,3,3508.9059955817806,3508.9059955817806
3,67,4,5,4633.518754458292,4633.518754458292
4,67,3,4,4692.802210125501,4692.802210125501
5,67,2,3,1971.1106347033979,1971.1106347033979
6,67,3,4,3768.973410827737,3768.973410827737
7,67,2,2,2236.2486609688062,2236.2486609688062
0,68,5,7,6535.362186165918,6535.362186165918
1,68,2,2,2380.079762293859,2380.079762293859
2,68,3,3,3512.93745540154,3512.93745540154
3,68,4,5,4493.761520294722,4493.761520294722
4,68,3,4,4822.3462194121785,4822.3462194121785
5,68,2,3,2722.7857208760342,2722.7857208760342
6,68,3,5,4019.352866160435,4019.352866160435
7,68,2,2,2044.5819943021395,2044.5819943021395
0,69,5,6,5338.456584009029,5338.456584009029
1,69,2,2,2538.0644602707926,2538.0644602707926
2,69,3,4,4044.909332747102,4044.909332747102
3,69,4,6,4630.348626956864,4630.348626956864
4,69,3,3,4011.9588155268866,4011.9588155268866
5,69,2,3,2880.7380206478733,2880.7380206478733
6,69,3,4,3821.739184199704,3821.739184199704
7,69,2,3,3091.1243039908722,3091.1243039908722
0,70,5,5,5551.207938187183,5551.207938187183
1,70,2,3,2798.0146791365582,2798.0146791365582
2,70,3,4,3676.648023892563,3676.648023892563
3,70,4,7,4012.859854403625,4012.859854403625
4,70,3,4,4611.41605556174,4611.41605556174
5,70,2,4,2677.827877704397,2677.827877704397
