region,day,total_trucks,total_routes,total_cost,total_ww_cost
0,28,5,7,4155.145281323579,4155.145281323579
1,28,2,1,1328.6627423948757,1328.6627423948757
2,28,3,4,3141.4278507929876,3141.4278507929876
3,28,4,5,3064.903861145112,3064.903861145112
4,28,3,3,2315.31965218489,2315.31965218489
5,28,2,1,1235.9916817943035,1235.9916817943035
6,28,3,3,2391.613992114069,2391.613992114069
7,28,2,2,2098.7486609688062,2098.7486609688062
0,29,5,5,4396.416855764702,4396.416855764702
1,29,2,1,1036.996075728209,1036.996075728209
2,29,3,4,2791.435829219411,2791.435829219411
3,29,4,4,2576.5284468692903,2576.5284468692903
4,29,3,3,2356.9863188515565,2356.9863188515565
5,29,2,1,896.3090330002331,896.3090330002331
6,29,3,3,2716.0234696592543,2716.0234696592543
7,29,2,2,2314.1616858376838,2314.1616858376838
0,30,5,7,4299.157815251508,4299.157815251508
1,30,2,1,1078.6627423948757,1078.6627423948757
2,30,3,4,2982.4213103171096,2982.4213103171096
3,30,4,5,2912.1060129759976,2912.1060129759976
4,30,3,2,1866.9209989825117,1866.9209989825117
5,30,2,2,1599.512060941061,1599.512060941061
6,30,3,2,2010.5763063112347,2010.5763063112347
7,30,2,2,2086.248660968806,2086.248660968806
0,31,5,5,4319.520434802558,4319.520434802558
1,31,2,1,1286.996075728209,1286.996075728209
2,31,3,3,3198.6245449545004,3198.6245449545004
3,31,4,5,3249.165267625838,3249.165267625838
4,31,3,3,2795.1967177203223,2795.1967177203223
5,31,2,1,1235.9916817943035,1235.9916817943035
6,31,3,3,2583.280658780736,2583.280658780736
7,31,2,1,1460.928085930286,1460.928085930286
0,32,5,7,4341.977878007909,4341.977878007909
1,32,2,1,1370.3294090615425,1370.3294090615425
2,32,3,4,2712.261184126321,2712.261184126321
3,32,4,5,2887.7763914017514,2887.7763914017514
4,32,3,3,3275.548724731484,3275.548724731484
5,32,2,2,1641.1787276077278,1641.1787276077278
6,32,3,3,2858.604083288471,2858.604083288471
7,32,2,1,1569.2614192636192,1569.2614192636192
0,33,5,7,4591.977878007909,4591.977878007909
1,33,2,2,1764.8043621802237,1764.8043621802237
2,33,3,4,2874.7691625527445,2874.7691625527445
3,33,4,4,2691.5936142611476,2691.5936142611476
4,33,3,3,3024.907958191993,3024.907958191993
5,33,2,1,1152.6583484609703,1152.6583484609703
6,33,3,1,1556.81142528192,1556.81142528192
7,33,2,2,2277.9153276354727,2277.9153276354727
0,34,5,7,4776.816146484454,4776.816146484454
1,34,2,1,1036.996075728209,1036.996075728209
2,34,3,3,3143.938014194867,3143.938014194867
3,34,4,5,3006.361916939966,3006.361916939966
4,34,3,3,2482.556814217011,2482.556814217011
5,34,2,2,1599.512060941061,1599.512060941061
6,34,3,3,2700.361136893408,2700.361136893408
7,34,2,2,2101.1497940604313,2101.1497940604313
0,35,5,7,4424.157815251508,4424.157815251508
1,35,2,1,1328.6627423948757,1328.6627423948757
2,35,3,3,2971.833312910963,2971.833312910963
3,35,4,5,3214.695250273299,3214.695250273299
4,35,3,4,3044.3861550182933,3044.3861550182933
5,35,2,1,1235.9916817943035,1235.9916817943035
6,35,3,3,2541.5317406185513,2541.5317406185513
7,35,2,2,1977.9153276354727,1977.9153276354727
0,36,5,7,4550.311211341242,4550.311211341242
1,36,2,1,1245.3294090615425,1245.3294090615425
2,36,3,4,3477.162999562627,3477.162999562627
3,36,4,5,3089.695250273299,3089.695250273299
4,36,3,3,2629.452234874491,2629.452234874491
5,36,2,1,1277.6583484609703,1277.6583484609703
6,36,3,3,2541.613992114069,2541.613992114069
7,36,2,2,2044.5819943021395,2044.5819943021395
0,37,5,5,3967.0498591296428,3967.0498591296428
1,37,2,1,1203.6627423948757,1203.6627423948757
2,37,3,4,3024.0879769837766,3024.0879769837766
3,37,4,5,3096.1097247350845,3096.1097247350845
4,37,3,2,2012.554487990063,2012.554487990063
5,37,2,1,1235.9916817943035,1235.9916817943035
6,37,3,2,1994.3980463305393,1994.3980463305393
7,37,2,2,2140.4153276354727,2140.4153276354727
0,38,5,6,4451.5272449140975,4451.5272449140975
1,38,2,1,1120.3294090615423,1120.3294090615423
2,38,3,4,2974.4051636617824,2974.4051636617824
3,38,4,4,2875.0149346963153,2875.0149346963153
4,38,3,2,2080.2668856010264,2080.2668856010264
5,38,2,2,1557.8453942743943,1557.8453942743943
6,38,3,3,2570.7806587807354,2570.7806587807354
7,38,2,2,1977.9153276354727,1977.9153276354727
0,39,5,4,4302.701055579494,4302.701055579494
1,39,2,1,1370.3294090615425,1370.3294090615425
2,39,3,4,2849.7611841263215,2849.7611841263215
3,39,4,5,3177.4038611451124,3177.4038611451124
4,39,3,3,2398.6529855182234,2398.6529855182234
5,39,2,2,1516.1787276077278,1516.1787276077278
6,39,3,3,2598.7265670604957,2598.7265670604957
7,39,2,2,2032.0819943021393,2032.0819943021393
0,40,5,7,4324.707404068502,4324.707404068502
1,40,2,2,1639.8043621802237,1639.8043621802237
2,40,3,4,2849.761184126321,2849.761184126321
3,40,4,4,2524.9269475944807,2524.9269475944807
4,40,3,2,2667.9628595020313,2667.9628595020313
5,40,2,1,1235.9916817943035,1235.9916817943035
