region,day,total_trucks,total_routes,total_overworked,total_double_shift,total_cost,cost_overworked,total_ww_cost
2,35,3,4,1,1,3619.1326061658133,113.40392843644241,3619.1326061658133
3,35,4,4,0,0,4357.460468378064,0.0,4357.460468378064
4,35,3,3,3,0,4206.36140910926,589.9230529448763,4206.36140910926
5,35,2,3,0,1,2351.9944462503327,0.0,2351.9944462503327
6,35,3,4,1,1,4441.189287155621,361.07390558134176,4441.189287155621
7,35,2,2,1,0,2512.4139810191855,162.1018919989179,2512.4139810191855
0,36,5,5,1,0,5767.248283704863,44.25246542466745,5767.248283704863
1,36,2,3,1,1,2859.711216812775,184.37690400270907,2859.711216812775
2,36,3,4,2,1,4149.215967676446,163.558758602935,4149.215967676446
3,36,4,6,1,2,4377.116968439498,29.555736100200246,4377.116968439498
4,36,3,4,2,1,4393.00222138689,289.3157725046389,4393.00222138689
5,36,2,3,0,1,2582.9219128206123,0.0,2582.9219128206123
6,36,3,4,2,1,4320.52663284015,454.0803461908212,4320.52663284015
7,36,2,2,2,0,2602.553269825722,191.59436571613324,2602.553269825722
0,37,5,6,1,1,5696.012792801636,3.94000344426537,5696.012792801636
1,37,2,3,1,1,2343.2687731956153,68.40247159371276,2343.2687731956153
2,37,3,4,2,1,4772.757453429868,311.37555835478923,4772.757453429868
3,37,4,5,0,1,4827.447767166914,0.0,4827.447767166914
4,37,3,4,2,1,4654.411948511994,365.15775662836825,4654.411948511994
5,37,2,3,1,1,2622.8462530293764,5.501826100402847,2622.8462530293764
6,37,3,4,2,1,3852.3989835054426,309.1730063559016,3852.3989835054426
7,37,2,2,2,0,2602.553269825722,191.59436571613324,2602.553269825722
0,38,5,6,0,1,5787.7938508009165,0.0,5787.7938508009165
1,38,2,2,1,0,2502.690533455394,154.37409551669703,2502.690533455394
2,38,3,5,0,2,4014.9471878661184,0.0,4014.9471878661184
3,38,4,5,0,1,4366.466106310949,0.0,4366.466106310949
4,38,3,3,2,0,4093.8640145274585,480.62642403484057,4093.8640145274585
5,38,2,3,0,1,2657.112840544531,0.0,2657.112840544531
6,38,3,4,1,1,4501.2665750966125,125.05073459728447,4501.2665750966125
7,38,2,2,1,0,2019.5819943021393,7.650645491846426,2019.5819943021393
0,39,5,6,1,1,5373.077920420422,110.55093922940668,5373.077920420422
1,39,2,2,0,0,2297.6279098747973,0.0,2297.6279098747973
2,39,3,4,1,1,4245.467090032568,78.37508035225923,4245.467090032568
3,39,4,5,0,1,4575.685961991118,0.0,4575.685961991118
4,39,3,3,2,0,3891.2770554536983,329.7325041709148,3891.2770554536983
5,39,2,3,0,1,2707.9219128206123,0.0,2707.9219128206123
6,39,3,5,0,2,3720.002712029821,0.0,3720.002712029821
7,39,2,2,2,0,2592.867789676153,181.90888556656373,2592.867789676153
0,40,5,5,2,0,5422.915793495957,51.646505823718584,5422.915793495957
1,40,2,2,1,0,2387.6315320421813,92.996245326717,2387.6315320421813
2,40,3,3,1,0,3796.434151610378,216.4471427253799,3796.434151610378
3,40,4,4,1,0,4554.221413722151,2.6541006691518305,4554.221413722151
4,40,3,4,2,1,4749.154079422068,261.56030846284295,4749.154079422068
5,40,2,3,1,1,2975.495686177824,6.757256829272402,2975.495686177824
6,40,3,4,2,1,4506.499368154929,147.7261711833204,4506.499368154929
7,40,2,2,1,0,2277.9153276354727,224.31731215851326,2277.9153276354727
0,41,5,6,0,1,5526.347392608819,0.0,5526.347392608819
1,41,2,3,1,1,2513.3989683146947,147.16291199338366,2513.3989683146947
2,41,3,4,2,1,4131.373926204748,154.71934936273655,4131.373926204748
3,41,4,4,0,0,4568.564489898959,0.0,4568.564489898959
4,41,3,4,2,1,4451.229248756593,349.36877731540665,4451.229248756593
5,41,2,3,1,1,2663.611064376408,46.26663744743481,2663.611064376408
6,41,3,3,3,0,3762.189025469589,145.7506693052061,3762.189025469589
7,41,2,2,1,0,2559.9950191710172,220.01576893319913,2559.9950191710172
0,42,5,5,1,0,5594.060284917646,3.94000344426537,5594.060284917646
1,42,2,3,1,1,2985.407244652747,89.81222834793016,2985.407244652747
2,42,3,4,2,1,4632.9274064990495,294.82222307763897,4632.9274064990495
3,42,4,4,0,0,4449.161505871789,0.0,4449.161505871789
4,42,3,3,3,0,4109.268092486071,492.82973632168716,4109.268092486071
5,42,2,4,0,2,2686.275313398224,0.0,2686.275313398224
6,42,3,5,2,2,4024.8466743059435,284.8903727498082,4024.8466743059435
7,42,2,2,0,0,2266.672518763025,0.0,2266.672518763025
0,43,5,5,2,0,5924.109103030756,177.70860348539804,5924.109103030756
1,43,2,3,0,1,2479.4382963162216,0.0,2479.4382963162216
2,43,3,4,2,1,3873.693172988598,126.63541352266773,3873.693172988598
3,43,4,5,1,1,4760.566955140972,7.774958934299548,4760.566955140972
4,43,3,3,3,0,4129.732513387786,513.2941572234025,4129.732513387786
5,43,2,3,1,1,2752.8285617553947,82.99298149876653,2752.8285617553947
6,43,3,4,2,1,3953.233684092957,355.5936528901158,3953.233684092957
7,43,2,2,1,0,2528.4975270283658,303.0520985884659,2528.4975270283658
0,44,5,5,0,0,5330.041783044763,0.0,5330.041783044763
1,44,2,3,2,1,3235.835566892001,91.66829138469983,3235.835566892001
2,44,3,4,2,1,3389.08205008965,165.21823676899908,3389.08205008965
3,44,4,5,0,1,5188.139249040752,0.0,5188.139249040752
4,44,3,4,2,1,4687.187851319474,521.9081525667018,4687.187851319474
5,44,2,4,0,2,2716.34293182083,0.0,2716.34293182083
6,44,3,4,1,1,4195.537250431145,119.23141491858617,4195.537250431145
7,44,2,2,1,0,2409.9950191710172,111.6824355998658,2409.9950191710172
0,45,5,6,1,1,5273.5305276226545,28.22914145937318,5273.5305276226545
1,45,2,3,1,1,2530.0656349813617,38.82957866005034,2530.0656349813617
2,45,3,4,2,1,3936.4211276544756,32.879304074899096,3936.4211276544756
3,45,4,5,0,1,4256.849751976917,0.0,4256.849751976917
4,45,3,4,2,1,4465.307332650608,339.4684394508382,4465.307332650608
5,45,2,3,0,1,2169.3708368990206,0.0,2169.3708368990206
6,45,3,5,1,2,4137.095496405716,219.3601806400486,4137.095496405716
7,45,2,2,1,0,2378.4975270283658,194.71876525513255,2378.4975270283658
0,46,5,7,1,2,5708.277244433627,147.12010640620855,5708.277244433627
1,46,2,2,2,0,2592.2311269374595,181.27222282787034,2592.2311269374595
2,46,3,4,1,1,3854.556554696346,217.55806158363987,3854.556554696346
3,46,4,6,0,2,4817.868973426207,0.0,4817.868973426207
4,46,3,4,2,1,4357.289423885341,169.75020062101441,4357.289423885341
5,46,2,3,0,1,2867.0635959061915,0.0,2867.0635959061915
6,46,3,4,3,1,4757.229285136628,226.33998011013514,4757.229285136628
7,46,2,2,1,0,2486.8308603616993,303.0520985884659,2486.8308603616993
0,47,5,5,1,0,5728.373067173012,52.957213655719215,5728.373067173012
1,47,2,3,1,1,3081.24057798608,143.97889501459684,3081.24057798608
2,47,3,4,1,1,4212.411414614264,97.24373095457013,4212.411414614264
3,47,4,6,0,2,4548.84014888574,0.0,4548.84014888574
4,47,3,4,2,1,4249.750084235432,142.00989714825548,4249.750084235432
5,47,2,3,1,1,2664.512919696043,5.501826100402847,2664.512919696043
6,47,3,3,2,0,3859.486098989947,306.19901095264714,3859.486098989947
7,47,2,2,1,0,2486.8308603616993,303.0520985884659,2486.8308603616993
0,48,5,5,0,0,5386.337552984638,0.0,5386.337552984638
1,48,2,2,0,0,2366.1708600437087,0.0,2366.1708600437087
2,48,3,4,2,1,4052.304336760354,24.980461020177017,4052.304336760354
3,48,4,5,0,1,4702.934646848946,0.0,4702.934646848946
4,48,3,3,2,0,3825.2405893521745,226.2040883406047,3825.2405893521745
5,48,2,3,0,1,2537.439493442381,0.0,2537.439493442381
6,48,3,5,2,2,4081.064871202404,128.5081987908345,4081.064871202404
7,48,2,2,1,0,2115.4153276354727,61.8173121585131,2115.4153276354727
0,49,5,6,2,1,5444.52196982041,112.6065372528344,5444.52196982041
