0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
23934.6,37856.85,29057.6,36165.19,29632.47,31935.38,25149.59,49406.32,23931.46,34663.44,16728.58,15950.14,15703.47,28780.86,36079.83,20007.55,16761.47,13756.31,27987.41,34591.43,4490.59,8024.78,22783.93,3879.87,16900.29,8200.22,26163.09,34774.8,13728.67,38383.85,21247.69,30189.29,0.0,35076.27,46719.02,36573.22,37478.3,43394.1,27039.67,37682.42,4565.89,22362.67,25096.62,28305.19,19831.46,9699.98,16710.5,26915.78,31015.03,49300.0,34398.66
13974.59,11076.64,22604.75,15458.55,5958.36,3144.26,30514.71,20822.26,29296.57,22166.83,30982.62,34057.16,35663.55,16398.7,7354.97,30371.34,30006.44,37198.45,17254.49,21251.49,49184.82,42418.98,24305.64,45260.91,31646.68,38427.2,27252.68,14068.15,33925.91,26355.11,26612.81,17833.35,45853.28,0.0,2890.38,9289.32,8479.87,8262.34,26641.39,24342.48,40862.15,15817.5,13442.96,19556.45,16222.52,37048.88,29694.89,9033.58,10308.38,20715.94,5214.83
14726.19,11973.02,23356.34,26749.27,4138.44,5759.75,31266.3,21718.63,30048.17,22918.43,31879.0,34953.54,36559.92,17150.3,5374.37,31267.71,30902.81,38094.82,18006.09,22147.87,50081.2,43315.36,25202.02,46157.28,23156.65,39323.57,28004.28,25358.88,34677.5,27251.49,27364.41,18584.95,46749.65,2986.49,0.0,10185.69,9376.24,9158.72,27537.76,25238.85,41758.52,16569.1,14194.56,20452.82,16974.12,37945.25,30446.49,9785.17,23924.12,21612.31,7830.07
16459.18,2661.02,30447.11,16855.76,13800.72,8266.33,36998.59,13740.48,35780.46,30009.19,21985.49,25060.03,26666.41,24241.06,15197.33,21374.2,21009.3,28201.31,25096.85,8045.12,40187.69,33421.85,15308.51,36263.77,22649.54,29430.06,33736.57,12272.57,40409.79,13213.33,33096.7,25675.71,36856.14,10291.78,11047.69,0.0,851.9,5309.5,17644.25,11200.69,31865.01,21639.41,21285.32,10559.31,17873.79,28051.74,36178.78,16875.94,14030.61,13634.16,3117.41
16956.47,3016.23,29970.93,17353.05,13324.54,8763.62,37495.88,13264.3,36277.75,29533.01,22482.78,25557.32,27163.7,23764.88,14721.15,21871.49,21506.59,28698.6,24620.67,8400.33,40684.98,33919.14,15805.8,36761.05,23146.83,29927.35,34233.86,12627.78,40907.08,13568.54,33593.98,25199.53,37353.43,9815.6,10571.51,997.54,0.0,4607.87,18141.54,11555.9,32362.3,22136.7,20809.14,11056.6,18371.08,28549.03,36676.07,16399.76,14527.9,13157.98,5643.56
19794.09,7011.83,28424.25,23504.26,11777.86,14914.83,43647.1,12543.33,42428.96,27986.34,28633.99,31708.53,33314.91,22218.21,13174.47,28022.7,27657.81,34849.82,23073.99,12395.93,46836.19,40070.36,21957.01,42912.27,29298.05,36078.56,40385.07,16623.37,47058.3,17564.13,39745.2,23652.86,43504.65,8268.93,9024.83,5530.38,4744.5,0.0,24292.76,15551.5,38513.52,21637.0,19262.46,17207.81,24522.3,34700.25,42827.29,14853.08,20679.11,12437.01,7542.52
6078.08,18846.87,22000.23,12841.16,11762.43,12925.4,26619.75,30396.34,25401.62,23905.87,11606.65,14681.19,16287.57,17547.73,31858.67,10995.36,10630.47,17822.47,20119.93,15581.45,29808.85,23043.01,4927.41,25884.93,12270.7,19051.22,23357.73,11450.76,30030.96,15059.81,22717.86,19190.31,26477.3,16066.29,27709.04,17563.24,18468.32,24384.12,0.0,14686.3,21486.17,11260.57,13162.27,6028.23,7494.96,17672.9,25799.94,8805.53,7851.79,30290.02,15388.67
17367.17,8873.3,33287.05,6755.29,23721.33,13183.27,37906.58,26279.07,36688.45,35192.69,22893.47,25968.02,27574.4,28834.55,25117.93,22282.19,21917.29,29109.3,35017.45,3191.35,41095.68,34329.84,16216.5,37171.75,23557.53,30338.04,34644.55,4155.93,41317.78,2716.51,34004.68,30477.14,37764.13,20212.39,20968.3,10782.73,11308.82,15414.93,14509.26,0.0,32773.0,22547.4,24449.1,10514.97,18781.78,28959.73,37086.77,15557.83,7374.27,21304.36,11261.54
18816.4,32738.65,31778.14,31046.99,24514.27,26817.18,27870.13,44288.12,26651.99,26655.15,11610.38,10831.94,10585.27,20297.01,30961.63,14889.35,11643.27,6717.18,22869.21,29473.23,12249.99,5496.35,17665.73,8326.07,11782.09,3600.73,28883.63,29656.6,16449.21,33265.65,23968.23,21939.59,4648.06,29958.07,41600.82,31455.02,32360.1,38275.9,21921.47,32564.22,0.0,17244.46,19978.42,23186.99,14713.26,4577.07,19431.04,21797.58,25896.83,44181.8,29280.46
4629.05,22513.36,13325.23,20821.7,11263.42,16591.89,17944.75,34062.83,16726.62,14932.63,4999.06,10798.35,6280.03,7964.21,17710.79,7112.52,3981.34,13939.63,10020.29,19247.94,25926.01,19160.17,5084.88,22002.09,5367.91,15168.38,14682.73,19431.31,21355.96,23040.36,14042.86,9398.86,22594.46,16251.95,14784.52,21229.73,22134.81,28050.61,11696.18,22338.93,17603.33,0.0,4829.58,12961.69,3780.64,13790.06,17124.94,7972.26,15671.54,33956.51,19055.16
6272.76,22074.23,9731.27,20631.36,8303.55,16308.81,19007.08,31819.85,17788.95,10499.92,10420.73,13491.52,9730.43,4576.74,14750.92,11074.15,7619.05,16632.8,5587.57,32249.09,37170.77,21853.34,8540.98,33246.86,8143.31,17861.55,15745.06,19240.97,22418.28,22850.02,15105.18,6011.39,34223.43,13292.08,11824.65,20286.91,19477.46,19259.93,14982.5,35340.07,20296.51,4717.68,0.0,16248.02,8094.48,16483.24,18187.27,6673.05,15481.2,31713.53,19024.49
8265.46,11607.13,24185.35,9078.93,23222.33,5685.66,28804.88,23156.6,27586.74,26090.99,13791.77,16866.31,18472.69,19732.85,24618.94,13180.48,12815.59,20007.59,22305.05,7505.17,31993.97,25228.13,7114.79,28070.05,14455.83,21236.34,25542.85,7688.54,32216.08,11297.59,24902.98,21375.43,28662.43,8826.55,20469.3,10323.5,11228.58,17144.38,6019.29,10596.16,23671.3,13445.7,15347.4,0.0,9680.08,19858.03,27985.06,6882.01,3928.77,23050.28,8148.94
