region,routes,total_duration,total_demand
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland Victoria Street West', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",16012.65,19.75
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",15977.08,19.4
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']",13908.66,16.8
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",7696.65,8.0
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",13312.86,16.3
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13163.92,16.6
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",13705.36,16.35
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13321.470000000001,16.25
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Pt Chevalier', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15094.849999999999,16.55
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Newmarket', 'Distribution Centre Auckland']",15054.720000000001,19.950000000000003
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Greenlane', 'Woolworths Newmarket', 'Distribution Centre Auckland']",15054.720000000001,19.950000000000003
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Ponsonby', 'Distribution Centre Auckland']",13692.430000000002,16.700000000000003
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']",13246.79,16.05
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths Newmarket', 'Distribution Centre Auckland']",15794.210000000003,19.700000000000003
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths Newmarket', 'Distribution Centre Auckland']",14237.16,17.1
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Pt Chevalier', 'Distribution Centre Auckland']",13312.86,16.3
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Distribution Centre Auckland']",7656.35,8.3
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13554.83,16.9
0,"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Newmarket', 'Distribution Centre Auckland']",13338.64,16.65
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Mt Eden', 'Distribution Centre Auckland']",13245.1,16.55
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Newmarket', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']",15206.279999999999,16.85
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths St Lukes', 'Distribution Centre Auckland']",16219.05,20.0
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Greenlane', 'Distribution Centre Auckland']",13053.32,16.25
0,"['Distribution Centre Auckland', 'Woolworths Ponsonby', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13848.02,17.0
0,"['Distribution Centre Auckland', 'Woolworths Auckland Victoria Street West', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13674.220000000001,16.35
0,"['Distribution Centre Auckland', 'FreshChoice Epsom', 'Woolworths Auckland City', 'Woolworths St Lukes', 'Distribution Centre Auckland']",16219.05,20.0
0,"['Distribution Centre Auckland', 'Woolworths Grey Lynn', 'Woolworths St Lukes', 'Distribution Centre Auckland']",14256.49,17.4
0,"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13163.92,16.6
0,"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths St Lukes', 'Distribution Centre Auckland']",13554.83,16.9
0,"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Distribution Centre Auckland']",7695.14,8.6
